"X";"electricity..high.voltage...DE..electricity.production..deep.geothermal";"electricity..high.voltage...DE..electricity.production..hard.coal";"electricity..high.voltage...DE..electricity.production..hydro..pumped.storage";"electricity..high.voltage...DE..electricity.production..hydro..run.of.river";"electricity..high.voltage...DE..electricity.production..lignite";"electricity..high.voltage...DE..electricity.production..natural.gas..combined.cycle.power.plant";"electricity..high.voltage...DE..electricity.production..natural.gas..conventional.power.plant";"electricity..high.voltage...DE..electricity.production..nuclear..pressure.water.reactor";"electricity..high.voltage...DE..electricity.production..oil";"electricity..low.voltage...DE..electricity.production..photovoltaic..3kWp.slanted.roof.installation..multi.Si..panel..mounted";"electricity..low.voltage...DE..electricity.production..photovoltaic..3kWp.slanted.roof.installation..single.Si..panel..mounted";"electricity..low.voltage...DE..electricity.production..photovoltaic..570kWp.open.ground.installation..multi.Si";"electricity..high.voltage...DE..electricity.production..wind...1MW.turbine..onshore";"electricity..high.voltage...DE..electricity.production..wind...3MW.turbine..onshore";"electricity..high.voltage...DE..electricity.production..wind..1.3MW.turbine..offshore";"electricity..high.voltage...DE..electricity.production..wind..1.3MW.turbine..onshore";"electricity..high.voltage...DE..heat.and.power.co.generation..biogas..gas.engine"
"73";"aluminium electrolysis facility//[RER] aluminium electrolysis facility construction";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"74";"aluminium fluoride//[RER] aluminium fluoride production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"75";"aluminium hydroxide factory//[RER] aluminium hydroxide factory construction";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"76";"aluminium hydroxide//[GLO] aluminium hydroxide production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"77";"aluminium, cast alloy//[GLO] aluminium ingot, primary, to aluminium, cast alloy market";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"78";"aluminium, wrought alloy//[GLO] aluminium ingot, primary, to aluminium, wrought alloy market";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"79";"aluminium melting furnace//[RER] aluminium melting furnace production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"80";"aluminium removed by milling, average//[RER] aluminium milling, average";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"81";"aluminium removed by milling, dressing//[RER] aluminium milling, dressing";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"82";"aluminium removed by milling, large parts//[RER] aluminium milling, large parts";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"83";"aluminium removed by milling, small parts//[RER] aluminium milling, small parts";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"84";"aluminium oxide factory//[RER] aluminium oxide factory construction";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"85";"aluminium oxide//[GLO] aluminium oxide production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"86";"aluminium, primary, cast alloy slab from continuous casting//[CA-QC] aluminium production, primary, cast alloy slab from continuous casting";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"87";"aluminium, primary, ingot//[CA-QC] aluminium production, primary, ingot";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"88";"aluminium, primary, ingot//[CN] aluminium production, primary, ingot";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"89";"aluminium, primary, ingot//[IAI Area 1] aluminium production, primary, ingot";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"90";"aluminium, primary, ingot//[IAI Area 2, without Quebec] aluminium production, primary, ingot";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"91";"aluminium, primary, ingot//[IAI Area 3] aluminium production, primary, ingot";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"92";"aluminium, primary, ingot//[IAI Area 4&5 without China] aluminium production, primary, ingot";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"93";"aluminium, primary, ingot//[IAI Area 8] aluminium production, primary, ingot";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
